
[<DEVICE ID 1bfa:0498 on Bus 001 Address 006>]
[u'USB::7162::1176::0000803::INSTR']
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
---------------------------------------------------------------------------------
                         date           Bx           By           Bz          |B|
   2018-07-18 14:26:53.244570   +0.00510 T   -0.00482 T   -0.00404 T   0.00810 T
   2018-07-18 14:26:55.334301   +0.00322 T   -0.00408 T   -0.00406 T   0.00660 T
   2018-07-18 14:26:57.424046   +0.00464 T   -0.00423 T   -0.00322 T   0.00706 T
   2018-07-18 14:26:59.513845   +0.00414 T   -0.00420 T   -0.00375 T   0.00699 T
   2018-07-18 14:27:01.603545   +0.00480 T   -0.00469 T   -0.00447 T   0.00806 T
   2018-07-18 14:27:03.693039   +0.00527 T   -0.00437 T   -0.00391 T   0.00788 T
   2018-07-18 14:27:05.782739   +0.00446 T   -0.00359 T   -0.00320 T   0.00656 T
   2018-07-18 14:27:07.872387   +0.00477 T   -0.00419 T   -0.00361 T   0.00730 T
   2018-07-18 14:27:09.962088   +0.00431 T   -0.00497 T   -0.00376 T   0.00758 T
   2018-07-18 14:27:12.051805   +0.00556 T   -0.00433 T   -0.00402 T   0.00811 T
   2018-07-18 14:27:14.141462   +0.00462 T   -0.00406 T   -0.00445 T   0.00759 T
   2018-07-18 14:27:16.231217   +0.00542 T   -0.00466 T   -0.00390 T   0.00814 T
   2018-07-18 14:27:18.320915   +0.00367 T   -0.00299 T   -0.00252 T   0.00536 T
   2018-07-18 14:27:20.410728   +0.00526 T   -0.00527 T   -0.00417 T   0.00853 T
   2018-07-18 14:27:22.500561   +0.00539 T   -0.00326 T   -0.00387 T   0.00739 T
   2018-07-18 14:27:24.590401   +0.00416 T   -0.00466 T   -0.00460 T   0.00776 T
   2018-07-18 14:27:26.679860   +0.00365 T   -0.00342 T   -0.00318 T   0.00593 T
   2018-07-18 14:27:28.769583   +0.00480 T   -0.00363 T   -0.00336 T   0.00689 T
   2018-07-18 14:27:30.859232   +0.00508 T   -0.00433 T   -0.00361 T   0.00759 T
   2018-07-18 14:27:32.948952   +0.00603 T   -0.00402 T   -0.00304 T   0.00786 T
   2018-07-18 14:27:35.038596   +0.00524 T   -0.00356 T   -0.00400 T   0.00749 T
   2018-07-18 14:27:37.128359   +0.00492 T   -0.00417 T   -0.00304 T   0.00713 T
   2018-07-18 14:27:39.218057   +0.00475 T   -0.00341 T   -0.00359 T   0.00686 T
   2018-07-18 14:27:41.307703   +0.00509 T   -0.00449 T   -0.00443 T   0.00811 T
   2018-07-18 14:27:43.397503   +0.00539 T   -0.00402 T   -0.00373 T   0.00769 T
   2018-07-18 14:27:45.487015   +0.00573 T   -0.00391 T   -0.00404 T   0.00803 T
   2018-07-18 14:27:47.577013   +0.00476 T   -0.00402 T   -0.00332 T   0.00706 T
   2018-07-18 14:27:49.666491   +0.00445 T   -0.00342 T   -0.00332 T   0.00652 T
   2018-07-18 14:27:51.746100   +0.00404 T   -0.00406 T   -0.00406 T   0.00702 T
   2018-07-18 14:27:53.835813   +0.00460 T   -0.00417 T   -0.00317 T   0.00697 T
   2018-07-18 14:27:55.925580   +0.00428 T   -0.00418 T   -0.00291 T   0.00665 T
   2018-07-18 14:27:58.015176   +0.00511 T   -0.00361 T   -0.00363 T   0.00723 T
   2018-07-18 14:28:00.105222   +0.00491 T   -0.00387 T   -0.00359 T   0.00721 T
   2018-07-18 14:28:02.194678   +0.00524 T   -0.00342 T   -0.00318 T   0.00702 T
   2018-07-18 14:28:04.284385   +0.00462 T   -0.00419 T   -0.00430 T   0.00758 T
   2018-07-18 14:28:06.374399   +0.00445 T   -0.00328 T   -0.00333 T   0.00645 T
   2018-07-18 14:28:08.463828   +0.00477 T   -0.00463 T   -0.00347 T   0.00750 T
   2018-07-18 14:28:10.553596   +0.00460 T   -0.00417 T   -0.00374 T   0.00725 T
   2018-07-18 14:28:12.643376   +0.00572 T   -0.00448 T   -0.00374 T   0.00817 T
   2018-07-18 14:28:14.732983   +0.00443 T   -0.00309 T   -0.00289 T   0.00613 T
   2018-07-18 14:28:16.822692   +0.00431 T   -0.00480 T   -0.00348 T   0.00733 T
   2018-07-18 14:28:18.912381   +0.00509 T   -0.00344 T   -0.00278 T   0.00674 T
   2018-07-18 14:28:21.002080   +0.00510 T   -0.00421 T   -0.00362 T   0.00754 T
   2018-07-18 14:28:23.091991   +0.00474 T   -0.00401 T   -0.00358 T   0.00717 T
   2018-07-18 14:28:25.181474   +0.00428 T   -0.00385 T   -0.00331 T   0.00664 T
   2018-07-18 14:28:27.271417   +0.00445 T   -0.00448 T   -0.00416 T   0.00756 T
   2018-07-18 14:28:29.360783   +0.00443 T   -0.00370 T   -0.00413 T   0.00710 T
   2018-07-18 14:28:31.450540   +0.00444 T   -0.00402 T   -0.00360 T   0.00699 T
   2018-07-18 14:28:33.540388   +0.00443 T   -0.00477 T   -0.00317 T   0.00724 T
   2018-07-18 14:28:35.629875   +0.00394 T   -0.00384 T   -0.00385 T   0.00672 T
   2018-07-18 14:28:37.719707   +0.00507 T   -0.00356 T   -0.00359 T   0.00716 T
   2018-07-18 14:28:39.809241   +0.00462 T   -0.00390 T   -0.00417 T   0.00734 T
   2018-07-18 14:28:41.899118   +0.00490 T   -0.00385 T   -0.00413 T   0.00748 T
   2018-07-18 14:28:43.988650   +0.00413 T   -0.00404 T   -0.00402 T   0.00704 T
   2018-07-18 14:28:46.078762   +0.00540 T   -0.00434 T   -0.00305 T   0.00757 T
   2018-07-18 14:28:48.168054   +0.00442 T   -0.00368 T   -0.00316 T   0.00656 T
   2018-07-18 14:28:50.258397   +0.00524 T   -0.00342 T   -0.00430 T   0.00759 T
   2018-07-18 14:28:52.347382   +0.00459 T   -0.00431 T   -0.00456 T   0.00777 T
   2018-07-18 14:28:54.437152   +0.00461 T   -0.00433 T   -0.00291 T   0.00696 T
   2018-07-18 14:28:56.526795   +0.00522 T   -0.00295 T   -0.00344 T   0.00691 T
   2018-07-18 14:28:58.616560   +0.00585 T   -0.00399 T   -0.00399 T   0.00813 T
   2018-07-18 14:29:00.706364   +0.00538 T   -0.00431 T   -0.00400 T   0.00797 T
   2018-07-18 14:29:02.795994   +0.00520 T   -0.00427 T   -0.00411 T   0.00788 T
   2018-07-18 14:29:04.885693   +0.00554 T   -0.00431 T   -0.00441 T   0.00829 T
   2018-07-18 14:29:06.975384   +0.00427 T   -0.00460 T   -0.00496 T   0.00800 T
   2018-07-18 14:29:09.065384   +0.00475 T   -0.00311 T   -0.00345 T   0.00664 T
