
[<DEVICE ID 1bfa:0498 on Bus 001 Address 006>]
[u'USB::7162::1176::0000803::INSTR']
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
---------------------------------------------------------------------------------
                         date           Bx           By           Bz          |B|
   2018-07-18 14:33:51.174854   +0.00503 T   -0.00411 T   -0.00479 T   0.00807 T
   2018-07-18 14:33:53.264595   +0.00487 T   -0.00424 T   -0.00381 T   0.00750 T
   2018-07-18 14:33:55.354292   +0.00378 T   -0.00338 T   -0.00370 T   0.00628 T
   2018-07-18 14:33:57.444056   +0.00518 T   -0.00409 T   -0.00353 T   0.00748 T
   2018-07-18 14:33:59.533754   +0.00519 T   -0.00471 T   -0.00424 T   0.00819 T
   2018-07-18 14:34:01.623565   +0.00389 T   -0.00422 T   -0.00449 T   0.00729 T
   2018-07-18 14:34:03.713399   +0.00441 T   -0.00367 T   -0.00370 T   0.00683 T
   2018-07-18 14:34:05.802908   +0.00456 T   -0.00351 T   -0.00314 T   0.00656 T
   2018-07-18 14:34:07.892582   +0.00516 T   -0.00360 T   -0.00269 T   0.00684 T
   2018-07-18 14:34:09.982288   +0.00472 T   -0.00427 T   -0.00356 T   0.00729 T
   2018-07-18 14:34:12.072038   +0.00409 T   -0.00321 T   -0.00314 T   0.00607 T
   2018-07-18 14:34:14.161732   +0.00437 T   -0.00421 T   -0.00366 T   0.00709 T
   2018-07-18 14:34:16.251461   +0.00437 T   -0.00392 T   -0.00353 T   0.00685 T
   2018-07-18 14:34:18.341161   +0.00376 T   -0.00304 T   -0.00383 T   0.00617 T
   2018-07-18 14:34:20.430861   +0.00533 T   -0.00483 T   -0.00367 T   0.00808 T
   2018-07-18 14:34:22.520779   +0.00596 T   -0.00407 T   -0.00380 T   0.00816 T
   2018-07-18 14:34:24.610391   +0.00425 T   -0.00351 T   -0.00328 T   0.00641 T
   2018-07-18 14:34:26.699852   +0.00552 T   -0.00471 T   -0.00356 T   0.00808 T
   2018-07-18 14:34:28.789505   +0.00519 T   -0.00441 T   -0.00369 T   0.00775 T
   2018-07-18 14:34:30.879279   +0.00409 T   -0.00397 T   -0.00328 T   0.00658 T
   2018-07-18 14:34:32.968939   +0.00489 T   -0.00412 T   -0.00328 T   0.00719 T
   2018-07-18 14:34:35.058868   +0.00487 T   -0.00501 T   -0.00437 T   0.00824 T
   2018-07-18 14:34:37.148356   +0.00468 T   -0.00392 T   -0.00379 T   0.00719 T
   2018-07-18 14:34:39.238056   +0.00456 T   -0.00381 T   -0.00356 T   0.00693 T
   2018-07-18 14:34:41.327757   +0.00488 T   -0.00488 T   -0.00356 T   0.00777 T
   2018-07-18 14:34:43.417483   +0.00488 T   -0.00396 T   -0.00356 T   0.00722 T
   2018-07-18 14:34:45.507445   +0.00408 T   -0.00366 T   -0.00410 T   0.00684 T
   2018-07-18 14:34:47.597234   +0.00517 T   -0.00332 T   -0.00380 T   0.00722 T
   2018-07-18 14:34:49.686718   +0.00456 T   -0.00485 T   -0.00300 T   0.00730 T
   2018-07-18 14:34:51.776385   +0.00583 T   -0.00396 T   -0.00342 T   0.00783 T
   2018-07-18 14:34:53.866088   +0.00533 T   -0.00424 T   -0.00478 T   0.00832 T
   2018-07-18 14:34:55.955806   +0.00469 T   -0.00361 T   -0.00353 T   0.00689 T
   2018-07-18 14:34:58.045755   +0.00533 T   -0.00347 T   -0.00340 T   0.00721 T
   2018-07-18 14:35:00.135187   +0.00423 T   -0.00304 T   -0.00313 T   0.00608 T
   2018-07-18 14:35:02.224915   +0.00341 T   -0.00301 T   -0.00379 T   0.00592 T
   2018-07-18 14:35:04.314614   +0.00391 T   -0.00395 T   -0.00396 T   0.00682 T
   2018-07-18 14:35:06.404370   +0.00423 T   -0.00350 T   -0.00299 T   0.00625 T
   2018-07-18 14:35:08.494131   +0.00563 T   -0.00345 T   -0.00351 T   0.00748 T
   2018-07-18 14:35:10.583695   +0.00468 T   -0.00452 T   -0.00435 T   0.00783 T
   2018-07-18 14:35:12.673298   +0.00532 T   -0.00527 T   -0.00435 T   0.00866 T
   2018-07-18 14:35:14.763091   +0.00425 T   -0.00412 T   -0.00411 T   0.00721 T
   2018-07-18 14:35:16.852678   +0.00535 T   -0.00487 T   -0.00452 T   0.00853 T
   2018-07-18 14:35:18.942502   +0.00595 T   -0.00497 T   -0.00379 T   0.00863 T
   2018-07-18 14:35:21.032165   +0.00453 T   -0.00422 T   -0.00449 T   0.00765 T
   2018-07-18 14:35:23.121921   +0.00438 T   -0.00394 T   -0.00381 T   0.00702 T
   2018-07-18 14:35:25.212283   +0.00579 T   -0.00361 T   -0.00296 T   0.00744 T
   2018-07-18 14:35:27.302128   +0.00453 T   -0.00392 T   -0.00435 T   0.00740 T
   2018-07-18 14:35:29.391655   +0.00502 T   -0.00424 T   -0.00353 T   0.00746 T
   2018-07-18 14:35:31.481952   +0.00532 T   -0.00466 T   -0.00379 T   0.00802 T
   2018-07-18 14:35:33.571139   +0.00391 T   -0.00409 T   -0.00354 T   0.00667 T
   2018-07-18 14:35:35.660794   +0.00424 T   -0.00365 T   -0.00341 T   0.00655 T
   2018-07-18 14:35:37.750443   +0.00549 T   -0.00515 T   -0.00409 T   0.00857 T
   2018-07-18 14:35:39.840181   +0.00502 T   -0.00470 T   -0.00368 T   0.00780 T
   2018-07-18 14:35:41.929907   +0.00391 T   -0.00395 T   -0.00340 T   0.00652 T
   2018-07-18 14:35:44.019823   +0.00517 T   -0.00408 T   -0.00380 T   0.00760 T
   2018-07-18 14:35:46.108514   +0.00484 T   -0.00360 T   -0.00324 T   0.00685 T
   2018-07-18 14:35:48.198947   +0.00471 T   -0.00470 T   -0.00479 T   0.00820 T
   2018-07-18 14:35:50.288642   +0.00548 T   -0.00360 T   -0.00352 T   0.00744 T
   2018-07-18 14:35:52.378358   +0.00469 T   -0.00497 T   -0.00449 T   0.00818 T
   2018-07-18 14:35:54.468510   +0.00375 T   -0.00365 T   -0.00368 T   0.00640 T
   2018-07-18 14:35:56.557739   +0.00500 T   -0.00422 T   -0.00462 T   0.00801 T
   2018-07-18 14:35:58.646741   +0.00423 T   -0.00380 T   -0.00409 T   0.00700 T
   2018-07-18 14:36:00.737202   +0.00439 T   -0.00484 T   -0.00382 T   0.00757 T
   2018-07-18 14:36:02.826884   +0.00487 T   -0.00470 T   -0.00369 T   0.00771 T
   2018-07-18 14:36:04.916423   +0.00437 T   -0.00407 T   -0.00297 T   0.00667 T
   2018-07-18 14:36:07.006517   +0.00502 T   -0.00470 T   -0.00409 T   0.00800 T
   2018-07-18 14:36:09.095963   +0.00485 T   -0.00498 T   -0.00380 T   0.00792 T
   2018-07-18 14:36:11.184898   +0.00440 T   -0.00350 T   -0.00300 T   0.00637 T
   2018-07-18 14:36:13.275386   +0.00518 T   -0.00303 T   -0.00327 T   0.00683 T
   2018-07-18 14:36:15.365307   +0.00500 T   -0.00361 T   -0.00352 T   0.00710 T
   2018-07-18 14:36:17.454496   +0.00453 T   -0.00377 T   -0.00380 T   0.00701 T
   2018-07-18 14:36:19.544653   +0.00501 T   -0.00408 T   -0.00394 T   0.00757 T
   2018-07-18 14:36:21.634194   +0.00456 T   -0.00335 T   -0.00314 T   0.00647 T
   2018-07-18 14:36:23.723880   +0.00533 T   -0.00409 T   -0.00450 T   0.00809 T
   2018-07-18 14:36:25.813566   +0.00456 T   -0.00425 T   -0.00369 T   0.00724 T
   2018-07-18 14:36:27.903269   +0.00502 T   -0.00515 T   -0.00395 T   0.00821 T
   2018-07-18 14:36:29.993254   +0.00532 T   -0.00421 T   -0.00393 T   0.00784 T
   2018-07-18 14:36:32.081960   +0.00515 T   -0.00496 T   -0.00379 T   0.00809 T
   2018-07-18 14:36:34.172379   +0.00452 T   -0.00391 T   -0.00365 T   0.00700 T
   2018-07-18 14:36:36.262096   +0.00627 T   -0.00345 T   -0.00379 T   0.00810 T
   2018-07-18 14:36:38.352071   +0.00487 T   -0.00364 T   -0.00326 T   0.00690 T
   2018-07-18 14:36:40.440818   +0.00453 T   -0.00360 T   -0.00352 T   0.00677 T
   2018-07-18 14:36:42.531557   +0.00421 T   -0.00377 T   -0.00352 T   0.00666 T
   2018-07-18 14:36:44.620954   +0.00453 T   -0.00331 T   -0.00407 T   0.00693 T
   2018-07-18 14:36:46.710685   +0.00403 T   -0.00389 T   -0.00323 T   0.00647 T
   2018-07-18 14:36:48.799682   +0.00532 T   -0.00436 T   -0.00366 T   0.00779 T
   2018-07-18 14:36:50.890142   +0.00470 T   -0.00438 T   -0.00395 T   0.00754 T
   2018-07-18 14:36:52.979824   +0.00470 T   -0.00423 T   -0.00381 T   0.00738 T
   2018-07-18 14:36:55.069505   +0.00407 T   -0.00454 T   -0.00437 T   0.00750 T
   2018-07-18 14:36:57.159194   +0.00500 T   -0.00421 T   -0.00366 T   0.00749 T
   2018-07-18 14:36:59.248917   +0.00565 T   -0.00393 T   -0.00353 T   0.00773 T
   2018-07-18 14:37:01.338740   +0.00419 T   -0.00435 T   -0.00392 T   0.00720 T
   2018-07-18 14:37:03.428240   +0.00531 T   -0.00526 T   -0.00379 T   0.00838 T
   2018-07-18 14:37:05.518538   +0.00439 T   -0.00320 T   -0.00299 T   0.00620 T
   2018-07-18 14:37:07.607606   +0.00501 T   -0.00452 T   -0.00394 T   0.00781 T
   2018-07-18 14:37:09.697363   +0.00468 T   -0.00299 T   -0.00392 T   0.00680 T
   2018-07-18 14:37:11.787071   +0.00549 T   -0.00483 T   -0.00463 T   0.00865 T
   2018-07-18 14:37:13.876627   +0.00405 T   -0.00346 T   -0.00366 T   0.00646 T
   2018-07-18 14:37:15.966453   +0.00564 T   -0.00406 T   -0.00407 T   0.00805 T
   2018-07-18 14:37:18.056152   +0.00422 T   -0.00393 T   -0.00325 T   0.00662 T
   2018-07-18 14:37:20.145120   +0.00501 T   -0.00483 T   -0.00422 T   0.00814 T
   2018-07-18 14:37:22.235761   +0.00579 T   -0.00466 T   -0.00365 T   0.00828 T
   2018-07-18 14:37:24.325498   +0.00375 T   -0.00349 T   -0.00396 T   0.00647 T
   2018-07-18 14:37:26.414502   +0.00499 T   -0.00344 T   -0.00268 T   0.00663 T
   2018-07-18 14:37:28.504289   +0.00580 T   -0.00452 T   -0.00394 T   0.00834 T
   2018-07-18 14:37:30.593657   +0.00456 T   -0.00351 T   -0.00341 T   0.00669 T
   2018-07-18 14:37:32.674136   +0.00443 T   -0.00391 T   -0.00314 T   0.00669 T
   2018-07-18 14:37:34.763900   +0.00439 T   -0.00439 T   -0.00437 T   0.00759 T
   2018-07-18 14:37:36.853637   +0.00404 T   -0.00360 T   -0.00351 T   0.00645 T
   2018-07-18 14:37:38.943330   +0.00452 T   -0.00360 T   -0.00406 T   0.00706 T
   2018-07-18 14:37:41.032971   +0.00423 T   -0.00394 T   -0.00285 T   0.00645 T
   2018-07-18 14:37:43.122717   +0.00372 T   -0.00435 T   -0.00365 T   0.00679 T
   2018-07-18 14:37:45.212515   +0.00391 T   -0.00380 T   -0.00313 T   0.00629 T
   2018-07-18 14:37:47.302070   +0.00471 T   -0.00409 T   -0.00409 T   0.00746 T
   2018-07-18 14:37:49.391694   +0.00422 T   -0.00408 T   -0.00477 T   0.00756 T
   2018-07-18 14:37:51.481130   +0.00499 T   -0.00481 T   -0.00475 T   0.00840 T
   2018-07-18 14:37:53.571047   +0.00502 T   -0.00483 T   -0.00449 T   0.00829 T
   2018-07-18 14:37:55.660777   +0.00470 T   -0.00530 T   -0.00409 T   0.00818 T
   2018-07-18 14:37:57.750467   +0.00468 T   -0.00527 T   -0.00476 T   0.00850 T
   2018-07-18 14:37:59.840165   +0.00487 T   -0.00350 T   -0.00410 T   0.00726 T
   2018-07-18 14:38:01.929907   +0.00469 T   -0.00407 T   -0.00449 T   0.00766 T
   2018-07-18 14:38:04.019779   +0.00440 T   -0.00381 T   -0.00369 T   0.00689 T
   2018-07-18 14:38:06.109263   +0.00579 T   -0.00482 T   -0.00352 T   0.00832 T
   2018-07-18 14:38:08.199338   +0.00579 T   -0.00345 T   -0.00392 T   0.00780 T
   2018-07-18 14:38:10.288793   +0.00530 T   -0.00494 T   -0.00405 T   0.00830 T
   2018-07-18 14:38:12.378486   +0.00485 T   -0.00393 T   -0.00353 T   0.00717 T
   2018-07-18 14:38:14.467827   +0.00484 T   -0.00330 T   -0.00255 T   0.00639 T
   2018-07-18 14:38:16.557132   +0.00548 T   -0.00437 T   -0.00407 T   0.00811 T
   2018-07-18 14:38:18.647477   +0.00579 T   -0.00436 T   -0.00379 T   0.00818 T
   2018-07-18 14:38:20.737252   +0.00484 T   -0.00391 T   -0.00323 T   0.00701 T
   2018-07-18 14:38:22.827038   +0.00467 T   -0.00359 T   -0.00350 T   0.00685 T
   2018-07-18 14:38:24.916713   +0.00423 T   -0.00365 T   -0.00313 T   0.00640 T
   2018-07-18 14:38:27.006669   +0.00406 T   -0.00346 T   -0.00352 T   0.00639 T
   2018-07-18 14:38:29.095500   +0.00469 T   -0.00408 T   -0.00463 T   0.00775 T
   2018-07-18 14:38:31.185774   +0.00484 T   -0.00375 T   -0.00296 T   0.00680 T
   2018-07-18 14:38:33.275407   +0.00356 T   -0.00435 T   -0.00378 T   0.00677 T
   2018-07-18 14:38:35.365200   +0.00499 T   -0.00496 T   -0.00392 T   0.00805 T
   2018-07-18 14:38:37.454472   +0.00515 T   -0.00466 T   -0.00462 T   0.00834 T
   2018-07-18 14:38:39.544467   +0.00453 T   -0.00345 T   -0.00379 T   0.00684 T
   2018-07-18 14:38:41.634186   +0.00471 T   -0.00456 T   -0.00479 T   0.00812 T
   2018-07-18 14:38:43.724011   +0.00452 T   -0.00391 T   -0.00448 T   0.00747 T
   2018-07-18 14:38:45.813572   +0.00468 T   -0.00345 T   -0.00337 T   0.00672 T
   2018-07-18 14:38:47.903459   +0.00484 T   -0.00301 T   -0.00352 T   0.00670 T
   2018-07-18 14:38:49.993351   +0.00563 T   -0.00481 T   -0.00351 T   0.00819 T
   2018-07-18 14:38:52.083406   +0.00420 T   -0.00359 T   -0.00323 T   0.00640 T
   2018-07-18 14:38:54.172418   +0.00564 T   -0.00423 T   -0.00463 T   0.00843 T
   2018-07-18 14:38:56.262111   +0.00470 T   -0.00409 T   -0.00409 T   0.00745 T
   2018-07-18 14:38:58.351814   +0.00516 T   -0.00377 T   -0.00421 T   0.00765 T
   2018-07-18 14:39:00.440512   +0.00499 T   -0.00360 T   -0.00351 T   0.00708 T
   2018-07-18 14:39:02.531253   +0.00436 T   -0.00466 T   -0.00434 T   0.00772 T
   2018-07-18 14:39:04.620195   +0.00565 T   -0.00469 T   -0.00381 T   0.00827 T
   2018-07-18 14:39:06.710656   +0.00451 T   -0.00449 T   -0.00336 T   0.00720 T
   2018-07-18 14:39:08.799631   +0.00530 T   -0.00464 T   -0.00447 T   0.00834 T
   2018-07-18 14:39:10.890082   +0.00406 T   -0.00394 T   -0.00381 T   0.00682 T
   2018-07-18 14:39:12.980097   +0.00502 T   -0.00513 T   -0.00449 T   0.00847 T
   2018-07-18 14:39:15.069893   +0.00471 T   -0.00364 T   -0.00409 T   0.00722 T
   2018-07-18 14:39:17.159158   +0.00518 T   -0.00424 T   -0.00422 T   0.00791 T
   2018-07-18 14:39:19.248859   +0.00467 T   -0.00449 T   -0.00419 T   0.00772 T
   2018-07-18 14:39:21.338574   +0.00484 T   -0.00406 T   -0.00407 T   0.00751 T
   2018-07-18 14:39:23.427393   +0.00436 T   -0.00344 T   -0.00268 T   0.00617 T
   2018-07-18 14:39:25.518045   +0.00500 T   -0.00360 T   -0.00352 T   0.00710 T
   2018-07-18 14:39:27.607699   +0.00546 T   -0.00449 T   -0.00392 T   0.00808 T
   2018-07-18 14:39:29.697367   +0.00406 T   -0.00361 T   -0.00339 T   0.00640 T
   2018-07-18 14:39:31.787032   +0.00357 T   -0.00330 T   -0.00351 T   0.00600 T
   2018-07-18 14:39:33.876614   +0.00422 T   -0.00302 T   -0.00367 T   0.00636 T
   2018-07-18 14:39:35.966900   +0.00451 T   -0.00329 T   -0.00433 T   0.00706 T
   2018-07-18 14:39:38.056231   +0.00470 T   -0.00302 T   -0.00298 T   0.00633 T
   2018-07-18 14:39:40.145855   +0.00515 T   -0.00329 T   -0.00295 T   0.00679 T
   2018-07-18 14:39:42.235558   +0.00453 T   -0.00466 T   -0.00421 T   0.00774 T
   2018-07-18 14:39:44.325269   +0.00501 T   -0.00407 T   -0.00380 T   0.00749 T
   2018-07-18 14:39:46.414494   +0.00404 T   -0.00330 T   -0.00310 T   0.00607 T
   2018-07-18 14:39:48.504949   +0.00437 T   -0.00407 T   -0.00324 T   0.00679 T
   2018-07-18 14:39:50.594391   +0.00343 T   -0.00379 T   -0.00409 T   0.00655 T
   2018-07-18 14:39:52.684088   +0.00579 T   -0.00436 T   -0.00406 T   0.00831 T
   2018-07-18 14:39:54.773738   +0.00549 T   -0.00528 T   -0.00311 T   0.00823 T
   2018-07-18 14:39:56.863474   +0.00454 T   -0.00409 T   -0.00367 T   0.00713 T
   2018-07-18 14:39:58.953705   +0.00372 T   -0.00389 T   -0.00364 T   0.00650 T
   2018-07-18 14:40:01.042230   +0.00406 T   -0.00408 T   -0.00380 T   0.00690 T
   2018-07-18 14:40:03.132714   +0.00515 T   -0.00511 T   -0.00448 T   0.00853 T
   2018-07-18 14:40:05.222409   +0.00439 T   -0.00379 T   -0.00368 T   0.00687 T
   2018-07-18 14:40:07.312105   +0.00470 T   -0.00363 T   -0.00298 T   0.00664 T
   2018-07-18 14:40:09.401147   +0.00514 T   -0.00403 T   -0.00391 T   0.00761 T
   2018-07-18 14:40:11.491042   +0.00471 T   -0.00425 T   -0.00423 T   0.00762 T
   2018-07-18 14:40:13.580498   +0.00515 T   -0.00403 T   -0.00378 T   0.00755 T
   2018-07-18 14:40:15.671030   +0.00455 T   -0.00365 T   -0.00368 T   0.00690 T
   2018-07-18 14:40:17.760626   +0.00483 T   -0.00389 T   -0.00392 T   0.00734 T
   2018-07-18 14:40:19.850327   +0.00499 T   -0.00374 T   -0.00392 T   0.00737 T
   2018-07-18 14:40:21.940149   +0.00387 T   -0.00388 T   -0.00322 T   0.00636 T
   2018-07-18 14:40:24.029601   +0.00515 T   -0.00465 T   -0.00351 T   0.00778 T
   2018-07-18 14:40:26.119350   +0.00545 T   -0.00418 T   -0.00391 T   0.00790 T
   2018-07-18 14:40:28.209009   +0.00358 T   -0.00453 T   -0.00408 T   0.00707 T
   2018-07-18 14:40:30.298703   +0.00470 T   -0.00468 T   -0.00395 T   0.00772 T
   2018-07-18 14:40:32.387828   +0.00502 T   -0.00469 T   -0.00340 T   0.00767 T
   2018-07-18 14:40:34.478439   +0.00453 T   -0.00423 T   -0.00394 T   0.00734 T
   2018-07-18 14:40:36.567859   +0.00439 T   -0.00379 T   -0.00396 T   0.00702 T
   2018-07-18 14:40:38.657558   +0.00406 T   -0.00424 T   -0.00381 T   0.00700 T
   2018-07-18 14:40:40.747279   +0.00578 T   -0.00358 T   -0.00323 T   0.00753 T
   2018-07-18 14:40:42.836285   +0.00594 T   -0.00435 T   -0.00433 T   0.00854 T
   2018-07-18 14:40:44.926128   +0.00485 T   -0.00423 T   -0.00422 T   0.00770 T
   2018-07-18 14:40:47.005720   +0.00477 T   -0.00321 T   -0.00303 T   0.00650 T
   2018-07-18 14:40:49.095413   +0.00486 T   -0.00423 T   -0.00477 T   0.00802 T
   2018-07-18 14:40:51.185146   +0.00437 T   -0.00377 T   -0.00339 T   0.00669 T
   2018-07-18 14:40:53.274836   +0.00454 T   -0.00363 T   -0.00326 T   0.00666 T
   2018-07-18 14:40:55.364494   +0.00469 T   -0.00513 T   -0.00546 T   0.00884 T
   2018-07-18 14:40:57.454478   +0.00487 T   -0.00364 T   -0.00382 T   0.00718 T
   2018-07-18 14:40:59.543901   +0.00375 T   -0.00335 T   -0.00327 T   0.00600 T
   2018-07-18 14:41:01.633608   +0.00451 T   -0.00479 T   -0.00419 T   0.00780 T
   2018-07-18 14:41:03.723372   +0.00357 T   -0.00331 T   -0.00283 T   0.00563 T
   2018-07-18 14:41:05.813139   +0.00435 T   -0.00420 T   -0.00323 T   0.00686 T
   2018-07-18 14:41:07.902657   +0.00484 T   -0.00496 T   -0.00393 T   0.00797 T
   2018-07-18 14:41:09.992570   +0.00404 T   -0.00375 T   -0.00365 T   0.00661 T
   2018-07-18 14:41:12.082037   +0.00499 T   -0.00480 T   -0.00378 T   0.00789 T
   2018-07-18 14:41:14.171667   +0.00372 T   -0.00329 T   -0.00392 T   0.00633 T
   2018-07-18 14:41:16.261426   +0.00373 T   -0.00286 T   -0.00393 T   0.00613 T
   2018-07-18 14:41:18.351136   +0.00404 T   -0.00391 T   -0.00337 T   0.00655 T
   2018-07-18 14:41:20.440990   +0.00453 T   -0.00361 T   -0.00311 T   0.00657 T
   2018-07-18 14:41:22.530532   +0.00468 T   -0.00467 T   -0.00379 T   0.00762 T
   2018-07-18 14:41:24.620247   +0.00454 T   -0.00409 T   -0.00270 T   0.00668 T
   2018-07-18 14:41:26.710011   +0.00471 T   -0.00499 T   -0.00423 T   0.00806 T
   2018-07-18 14:41:28.800094   +0.00468 T   -0.00361 T   -0.00310 T   0.00667 T
   2018-07-18 14:41:30.889530   +0.00419 T   -0.00449 T   -0.00432 T   0.00751 T
   2018-07-18 14:41:32.979445   +0.00533 T   -0.00497 T   -0.00477 T   0.00871 T
   2018-07-18 14:41:35.068911   +0.00563 T   -0.00359 T   -0.00323 T   0.00742 T
   2018-07-18 14:41:37.158607   +0.00500 T   -0.00407 T   -0.00338 T   0.00728 T
   2018-07-18 14:41:39.248289   +0.00580 T   -0.00468 T   -0.00394 T   0.00843 T
   2018-07-18 14:41:41.338026   +0.00530 T   -0.00494 T   -0.00377 T   0.00817 T
   2018-07-18 14:41:43.427658   +0.00467 T   -0.00373 T   -0.00309 T   0.00673 T
   2018-07-18 14:41:45.517386   +0.00498 T   -0.00328 T   -0.00336 T   0.00684 T
   2018-07-18 14:41:47.607102   +0.00515 T   -0.00388 T   -0.00350 T   0.00734 T
   2018-07-18 14:41:49.697016   +0.00422 T   -0.00377 T   -0.00394 T   0.00690 T
   2018-07-18 14:41:51.786470   +0.00435 T   -0.00328 T   -0.00350 T   0.00648 T
   2018-07-18 14:41:53.876058   +0.00614 T   -0.00455 T   -0.00355 T   0.00843 T
   2018-07-18 14:41:55.966144   +0.00374 T   -0.00361 T   -0.00366 T   0.00636 T
   2018-07-18 14:41:58.055430   +0.00500 T   -0.00361 T   -0.00269 T   0.00673 T
   2018-07-18 14:42:00.145298   +0.00530 T   -0.00374 T   -0.00336 T   0.00731 T
   2018-07-18 14:42:02.234851   +0.00486 T   -0.00364 T   -0.00270 T   0.00665 T
   2018-07-18 14:42:04.324664   +0.00422 T   -0.00303 T   -0.00367 T   0.00636 T
   2018-07-18 14:42:06.414252   +0.00422 T   -0.00364 T   -0.00298 T   0.00632 T
   2018-07-18 14:42:08.504096   +0.00517 T   -0.00513 T   -0.00394 T   0.00828 T
   2018-07-18 14:42:10.593713   +0.00531 T   -0.00360 T   -0.00323 T   0.00718 T
   2018-07-18 14:42:12.684032   +0.00484 T   -0.00330 T   -0.00310 T   0.00663 T
   2018-07-18 14:42:14.773202   +0.00406 T   -0.00393 T   -0.00422 T   0.00705 T
   2018-07-18 14:42:16.862829   +0.00466 T   -0.00418 T   -0.00322 T   0.00704 T
   2018-07-18 14:42:18.952807   +0.00578 T   -0.00373 T   -0.00405 T   0.00798 T
   2018-07-18 14:42:21.042256   +0.00434 T   -0.00373 T   -0.00405 T   0.00701 T
   2018-07-18 14:42:23.131863   +0.00424 T   -0.00440 T   -0.00409 T   0.00735 T
   2018-07-18 14:42:25.221598   +0.00515 T   -0.00525 T   -0.00461 T   0.00868 T
   2018-07-18 14:42:27.311256   +0.00562 T   -0.00435 T   -0.00392 T   0.00812 T
   2018-07-18 14:42:29.400923   +0.00454 T   -0.00409 T   -0.00367 T   0.00713 T
   2018-07-18 14:42:31.490730   +0.00435 T   -0.00359 T   -0.00392 T   0.00687 T
   2018-07-18 14:42:33.580421   +0.00422 T   -0.00379 T   -0.00340 T   0.00661 T
   2018-07-18 14:42:35.670419   +0.00484 T   -0.00329 T   -0.00227 T   0.00628 T
   2018-07-18 14:42:37.759899   +0.00437 T   -0.00406 T   -0.00420 T   0.00730 T
   2018-07-18 14:42:39.849504   +0.00517 T   -0.00363 T   -0.00270 T   0.00687 T
   2018-07-18 14:42:41.939467   +0.00343 T   -0.00409 T   -0.00326 T   0.00625 T
   2018-07-18 14:42:44.028968   +0.00578 T   -0.00480 T   -0.00461 T   0.00881 T
   2018-07-18 14:42:46.118643   +0.00484 T   -0.00435 T   -0.00420 T   0.00775 T
   2018-07-18 14:42:48.208312   +0.00498 T   -0.00434 T   -0.00405 T   0.00775 T
   2018-07-18 14:42:50.298026   +0.00515 T   -0.00450 T   -0.00379 T   0.00782 T
   2018-07-18 14:42:52.387669   +0.00469 T   -0.00437 T   -0.00393 T   0.00752 T
   2018-07-18 14:42:54.477699   +0.00502 T   -0.00453 T   -0.00422 T   0.00797 T
   2018-07-18 14:42:56.567443   +0.00468 T   -0.00497 T   -0.00366 T   0.00775 T
   2018-07-18 14:42:58.656972   +0.00484 T   -0.00512 T   -0.00324 T   0.00775 T
   2018-07-18 14:43:00.746602   +0.00454 T   -0.00349 T   -0.00312 T   0.00652 T
   2018-07-18 14:43:02.836278   +0.00406 T   -0.00468 T   -0.00394 T   0.00734 T
   2018-07-18 14:43:04.926277   +0.00529 T   -0.00432 T   -0.00293 T   0.00743 T
   2018-07-18 14:43:07.015647   +0.00388 T   -0.00343 T   -0.00378 T   0.00641 T
   2018-07-18 14:43:09.105343   +0.00533 T   -0.00482 T   -0.00408 T   0.00826 T
   2018-07-18 14:43:11.195048   +0.00501 T   -0.00422 T   -0.00394 T   0.00764 T
   2018-07-18 14:43:13.284762   +0.00499 T   -0.00436 T   -0.00462 T   0.00808 T
   2018-07-18 14:43:15.374440   +0.00499 T   -0.00480 T   -0.00406 T   0.00803 T
   2018-07-18 14:43:17.464503   +0.00312 T   -0.00350 T   -0.00382 T   0.00605 T
   2018-07-18 14:43:19.554313   +0.00437 T   -0.00498 T   -0.00449 T   0.00800 T
   2018-07-18 14:43:21.643687   +0.00375 T   -0.00379 T   -0.00298 T   0.00611 T
   2018-07-18 14:43:23.733462   +0.00372 T   -0.00360 T   -0.00351 T   0.00625 T
   2018-07-18 14:43:25.823192   +0.00453 T   -0.00513 T   -0.00463 T   0.00826 T
   2018-07-18 14:43:27.912862   +0.00498 T   -0.00448 T   -0.00363 T   0.00762 T
   2018-07-18 14:43:30.002496   +0.00405 T   -0.00437 T   -0.00435 T   0.00738 T
   2018-07-18 14:43:32.092270   +0.00466 T   -0.00313 T   -0.00391 T   0.00684 T
   2018-07-18 14:43:34.181922   +0.00403 T   -0.00374 T   -0.00267 T   0.00611 T
   2018-07-18 14:43:36.271605   +0.00388 T   -0.00329 T   -0.00254 T   0.00569 T
   2018-07-18 14:43:38.361262   +0.00469 T   -0.00482 T   -0.00380 T   0.00772 T
   2018-07-18 14:43:40.451134   +0.00422 T   -0.00409 T   -0.00353 T   0.00686 T
   2018-07-18 14:43:42.540877   +0.00530 T   -0.00359 T   -0.00336 T   0.00723 T
   2018-07-18 14:43:44.630346   +0.00450 T   -0.00478 T   -0.00405 T   0.00771 T
   2018-07-18 14:43:46.720076   +0.00454 T   -0.00408 T   -0.00326 T   0.00692 T
   2018-07-18 14:43:48.809778   +0.00482 T   -0.00402 T   -0.00405 T   0.00747 T
   2018-07-18 14:43:50.899388   +0.00563 T   -0.00374 T   -0.00392 T   0.00781 T
